"date","close","volume","open","high","low"
"10:02","147.7377","48,706","148.115","148.35","146.3801"
"2019/04/05","149.3800","165256.0000","148.8800","149.8130","148.0500"
"2019/04/04","147.5900","286322.0000","149.3800","150.2990","145.0000"
"2019/04/03","149.3400","360144.0000","148.4700","151.5000","147.5000"
"2019/04/02","145.8500","158098.0000","144.7100","146.3400","143.4100"
"2019/04/01","144.3200","253112.0000","142.5700","144.7999","140.5000"
"2019/03/29","138.6300","221248.0000","138.0200","138.7600","136.1360"
"2019/03/28","134.8900","147432.0000","134.3300","136.3499","132.3501"
"2019/03/27","133.4200","244528.0000","136.2200","137.4709","129.7500"
"2019/03/26","135.6300","222900.0000","136.8100","139.2900","133.1500"
"2019/03/25","133.4600","419107.0000","134.0000","135.9900","130.7900"
"2019/03/22","134.9900","580461.0000","143.0700","144.9250","134.9300"
"2019/03/21","145.6300","353467.0000","135.7000","146.3100","135.5544"
"2019/03/20","135.2200","356509.0000","136.0800","138.6247","132.8900"
"2019/03/19","136.6000","300242.0000","137.4000","138.4299","134.9100"
"2019/03/18","136.0000","334494.0000","135.0800","137.0700","133.5801"
"2019/03/15","134.3500","295149.0000","130.7100","136.0850","130.7100"
"2019/03/14","129.7000","161828.0000","129.8000","130.7700","128.5701"
"2019/03/13","128.9900","313497.0000","128.2000","131.1523","127.7500"
"2019/03/12","126.4600","271337.0000","125.4000","127.6900","124.3459"
"2019/03/11","124.3900","284287.0000","118.2700","124.5990","118.2700"
"2019/03/08","116.7700","316289.0000","112.5300","117.0000","111.7400"
"2019/03/07","116.9200","357118.0000","119.1300","119.5098","115.7200"
"2019/03/06","120.3100","131311.0000","122.0400","122.3800","119.8800"
"2019/03/05","122.3100","99794.0000","123.1800","123.2000","121.1601"
"2019/03/04","123.5200","397634.0000","126.6200","127.3400","119.3900"
"2019/03/01","124.8000","291545.0000","125.0500","125.6999","121.9101"
"2019/02/28","122.5000","158601.0000","122.1500","123.7500","121.5500"
"2019/02/27","123.5600","179863.0000","122.7300","123.9200","119.7401"
"2019/02/26","123.9000","219490.0000","122.1100","124.9200","121.8000"
"2019/02/25","123.1800","325432.0000","124.3700","125.5950","122.8932"
"2019/02/22","121.3000","273607.0000","118.7800","121.5500","118.7620"
"2019/02/21","117.0100","266261.0000","116.1000","118.3300","114.8248"
"2019/02/20","116.7400","255582.0000","116.9800","118.2500","115.0001"
"2019/02/19","116.4900","258631.0000","115.3500","117.4746","115.2450"
"2019/02/15","116.2300","333212.0000","116.1300","116.7000","114.3700"
"2019/02/14","113.6200","219010.0000","112.3700","114.8000","111.6500"
"2019/02/13","113.2300","286247.0000","114.4800","115.5001","112.9700"
"2019/02/12","112.8300","262218.0000","110.5900","113.1200","110.1719"
"2019/02/11","108.4400","197429.0000","109.6400","110.5520","107.7300"
"2019/02/08","108.5600","338661.0000","103.8200","108.5600","103.6300"
"2019/02/07","106.7900","424668.0000","108.5600","109.7550","104.7000"
"2019/02/06","111.5000","276326.0000","110.9200","112.2500","109.3801"
"2019/02/05","110.4500","275740.0000","108.7900","111.1400","108.7000"
"2019/02/04","107.7400","259178.0000","103.0000","107.7400","103.0000"
"2019/02/01","102.7900","190453.0000","100.9600","104.3300","100.3600"
"2019/01/31","100.9200","342106.0000","99.9000","102.6800","98.8797"
"2019/01/30","101.3700","499324.0000","97.4300","102.0750","96.0600"
"2019/01/29","92.9300","218289.0000","96.0200","96.3400","92.3400"
"2019/01/28","95.8500","220154.0000","95.3200","95.8800","93.3400"
"2019/01/25","99.9900","319603.0000","97.9200","100.6399","96.9800"
"2019/01/24","95.9100","189913.0000","94.4600","96.8800","94.3800"
"2019/01/23","93.4900","321281.0000","93.5000","95.6100","90.4500"
"2019/01/22","92.4900","677974.0000","95.4000","95.5000","90.3100"
"2019/01/18","97.5100","457221.0000","95.6900","98.0979","94.2000"
"2019/01/17","93.3300","202586.0000","90.4500","94.8099","89.8200"
"2019/01/16","91.4700","365394.0000","91.7800","93.2700","91.1500"
"2019/01/15","91.3200","257568.0000","88.0400","91.8488","87.9000"
"2019/01/14","87.5000","165741.0000","87.4200","88.2400","86.4700"
"2019/01/11","89.9500","207972.0000","88.9100","90.0700","88.2889"
"2019/01/10","90.3800","421374.0000","87.5100","90.5300","85.9799"
"2019/01/09","89.2000","374523.0000","87.0800","90.6000","87.0532"
"2019/01/08","86.1000","416697.0000","86.3700","87.1113","83.0000"
"2019/01/07","83.8500","438612.0000","81.9000","85.5299","81.1400"
"2019/01/04","81.7100","669343.0000","76.2900","82.6001","75.3901"
"2019/01/03","72.5100","789219.0000","78.3600","79.3000","72.4000"
"2019/01/02","85.0300","421237.0000","80.0000","86.5200","79.1714"
"2018/12/31","85.0000","801867.0000","84.8100","85.8400","82.8110"
"2018/12/28","82.6900","679135.0000","85.0300","86.7799","80.4600"
"2018/12/27","83.4900","725301.0000","78.0600","83.4900","73.5000"
"2018/12/26","81.2500","1082522.0000","70.6000","81.3737","69.2400"
"2018/12/24","68.9600","510696.0000","72.7700","75.5799","68.9600"
"2018/12/21","74.8200","1066391.0000","82.9300","85.5141","73.9300"
"2018/12/20","82.7200","882874.0000","86.1600","88.7700","78.9600"
